fecha_juego,num1,num2,num3,num4,num5,num6,estrategia,puntaje,suma,pares,fecha_generacion,version
10 de Enero de 2026,2,21,25,33,42,9,mixta,172,123,2,2026-01-10 17:14:04,3.0-dinamico
10 de Enero de 2026,5,9,14,30,40,7,balanceada,124,98,3,2026-01-10 17:14:04,3.0-dinamico
10 de Enero de 2026,6,10,21,23,30,2,fria,83,90,3,2026-01-10 17:14:04,3.0-dinamico
10 de Enero de 2026,2,5,9,41,43,11,caliente,127,100,1,2026-01-10 17:14:04,3.0-dinamico
7 de Enero de 2026,2,21,25,28,42,9,mixta,172,118,3,2026-01-10 17:13:16,3.0-dinamico
7 de Enero de 2026,7,9,21,25,30,4,balanceada,94,92,1,2026-01-10 17:13:15,3.0-dinamico
7 de Enero de 2026,7,13,23,30,43,8,fria,68,116,1,2026-01-10 17:13:15,3.0-dinamico
7 de Enero de 2026,5,9,21,32,43,9,caliente,155,110,1,2026-01-10 17:13:15,3.0-dinamico
7 de Enero de 2026,9,14,21,29,42,6,mixta,162,115,2,2026-01-07 10:22:06,3.0-dinamico
7 de Enero de 2026,2,7,10,32,43,7,balanceada,114,94,3,2026-01-07 10:22:06,3.0-dinamico
7 de Enero de 2026,7,10,16,38,43,1,fria,93,114,3,2026-01-07 10:22:06,3.0-dinamico
7 de Enero de 2026,2,9,21,41,43,11,caliente,147,116,1,2026-01-07 10:22:06,3.0-dinamico
5 de Enero de 2026,2,5,25,36,42,6,mixta,172,110,3,2026-01-05 15:17:10,3.0-dinamico
5 de Enero de 2026,9,10,14,22,38,9,balanceada,99,93,4,2026-01-05 15:17:09,3.0-dinamico
5 de Enero de 2026,3,9,23,30,38,5,fria,93,103,2,2026-01-05 15:17:09,3.0-dinamico
5 de Enero de 2026,2,5,21,25,42,13,caliente,190,95,2,2026-01-05 15:17:09,3.0-dinamico
3 de Enero de 2026,9,10,16,21,36,9,mixta,105,92,3,2026-01-03 22:40:42,2.2
3 de Enero de 2026,7,13,14,16,43,15,balanceada,85,93,2,2026-01-03 22:40:28,2.2
3 de Enero de 2026,3,13,16,30,38,14,fria,75,100,3,2026-01-03 22:40:13,2.2
3 de Enero de 2026,8,22,25,27,32,9,caliente,110,114,3,2026-01-03 22:37:09,2.2
